Comunidade,Tamanho,Densidade,Densidade Espacial,Lat,Lon,Porcentagem Crimes,Porcentagem Armas,Porcentagem Horarios,Areas,Subareas,Tamanho_normalizado,Densidade_normalizado,Densidade Espacial_normalizado,Fator escolha
110,567,0.014404746992818358,0.8110244291167191,33.96352275132275,-118.26563104056414,"{'agressao grave': 0.231, 'roubo': 0.406, 'vandalismo': 0.173, 'agressao leve': 0.155, 'sequestro': 0.004, 'homicidio': 0.009, 'crime sexual': 0.019, 'golpes': 0.004}","{'objetos cortantes': 0.051, 'armas de fogo': 0.127, 'Indefinido': 0.407, 'outros': 0.085, 'força fisica e ameacas': 0.233, 'objetos contundentes': 0.03, 'armas de fogo automaticas': 0.011, 'armas de fogo semiautomaticas': 0.048, 'explosivos e substancias quimicas': 0.009}","{'Manha': 0.203, 'Tarde': 0.31, 'Noite': 0.346, 'Madrugada': 0.141}","{'Newton', 'Southeast', '77th Street'}","{1824, 1802, 1259, 1804, 1803, 1806, 1805, 1258, 1394, 1395, 1268, 1269, 1823}",0.5022182786157942,0.017742771723578663,0.003000790387831477,0.01037178105570507
4,863,0.013921249030418487,0.7493324223682811,34.0253673232908,-118.28274264194654,"{'roubo': 0.562, 'vandalismo': 0.166, 'agressao leve': 0.154, 'agressao grave': 0.087, 'golpes': 0.01, 'crime sexual': 0.019, 'homicidio': 0.002}","{'Indefinido': 0.635, 'força fisica e ameacas': 0.188, 'objetos cortantes': 0.029, 'objetos contundentes': 0.021, 'armas de fogo': 0.035, 'armas de fogo semiautomaticas': 0.015, 'outros': 0.065, 'armas de fogo automaticas': 0.009, 'explosivos e substancias quimicas': 0.003}","{'Manha': 0.226, 'Tarde': 0.335, 'Noite': 0.275, 'Madrugada': 0.165}","{'Southwest', 'Newton'}","{1321, 1331, 308, 1333, 1341, 1342, 317, 318, 319, 325, 326, 327, 328, 329, 337, 338, 357, 358, 359, 377, 378, 379}",0.7648624667258207,0.017147232351734557,0.002772529962854679,0.009959881157294619
36,537,0.013464676670736,0.7250943471713014,34.04647914338924,-118.21123370577276,"{'agressao grave': 0.201, 'roubo': 0.413, 'vandalismo': 0.192, 'agressao leve': 0.175, 'golpes': 0.006, 'crime sexual': 0.009, 'sequestro': 0.002, 'homicidio': 0.002}","{'objetos cortantes': 0.05, 'força fisica e ameacas': 0.194, 'armas de fogo': 0.097, 'Indefinido': 0.521, 'armas de fogo semiautomaticas': 0.017, 'outros': 0.099, 'armas de fogo automaticas': 0.004, 'objetos contundentes': 0.015, 'explosivos e substancias quimicas': 0.004}","{'Manha': 0.227, 'Tarde': 0.292, 'Noite': 0.322, 'Madrugada': 0.158}",{'Hollenbeck'},"{441, 442, 449, 451, 452, 453, 454, 455, 456, 457, 459, 461, 462, 463, 464, 465, 466, 467, 468, 471, 473}",0.47559893522626445,0.016584858076283498,0.002682849084622877,0.009633853580453187
47,531,0.013661156606888528,0.5644664438277961,34.020975706214635,-118.35059623352163,"{'roubo': 0.48, 'agressao leve': 0.169, 'vandalismo': 0.181, 'agressao grave': 0.153, 'sequestro': 0.006, 'crime sexual': 0.008, 'golpes': 0.002, 'homicidio': 0.002}","{'Indefinido': 0.557, 'força fisica e ameacas': 0.198, 'armas de fogo': 0.077, 'outros': 0.072, 'objetos contundentes': 0.023, 'objetos cortantes': 0.034, 'armas de fogo semiautomaticas': 0.028, 'explosivos e substancias quimicas': 0.008, 'armas de fogo automaticas': 0.004}","{'Manha': 0.188, 'Tarde': 0.401, 'Noite': 0.292, 'Madrugada': 0.119}","{'Southwest', 'Wilshire'}","{773, 391, 393, 782, 783, 301, 303, 311, 312, 321, 331, 333, 341, 343, 351, 353, 361, 362, 363, 373}",0.4702750665483585,0.016826868481405896,0.0020885258422321776,0.009457697161819037
74,547,0.012567371461936757,0.6864133546408204,33.73400255941498,-118.28974570383927,"{'roubo': 0.441, 'vandalismo': 0.221, 'agressao grave': 0.135, 'agressao leve': 0.177, 'crime sexual': 0.016, 'golpes': 0.007, 'sequestro': 0.002}","{'Indefinido': 0.607, 'armas de fogo': 0.053, 'força fisica e ameacas': 0.192, 'explosivos e substancias quimicas': 0.009, 'outros': 0.068, 'objetos cortantes': 0.035, 'armas de fogo automaticas': 0.013, 'objetos contundentes': 0.015, 'armas de fogo semiautomaticas': 0.009}","{'Manha': 0.19, 'Tarde': 0.318, 'Noite': 0.324, 'Madrugada': 0.168}",{'Harbor'},"{583, 584, 585, 587, 555, 557, 558, 589, 561, 562, 563, 564, 565, 566, 567, 569}",0.484472049689441,0.015479619539706599,0.0025397294122553463,0.009009674475980972
9,622,0.011188151245162465,0.5858006300590196,34.0075217041801,-118.25380385852108,"{'vandalismo': 0.172, 'roubo': 0.407, 'agressao leve': 0.18, 'agressao grave': 0.191, 'crime sexual': 0.039, 'sequestro': 0.003, 'homicidio': 0.002, 'golpes': 0.006}","{'Indefinido': 0.452, 'armas de fogo': 0.08, 'outros': 0.084, 'armas de fogo semiautomaticas': 0.055, 'força fisica e ameacas': 0.243, 'objetos cortantes': 0.053, 'objetos contundentes': 0.016, 'explosivos e substancias quimicas': 0.011, 'armas de fogo automaticas': 0.006}","{'Manha': 0.185, 'Tarde': 0.397, 'Noite': 0.281, 'Madrugada': 0.137}",{'Newton'},"{1321, 1322, 1323, 1325, 1326, 1331, 1333, 1343, 1344, 1345, 1346, 1347, 1353, 1363, 1364, 1365, 1367, 1373, 1375, 1377, 1385}",0.5510204081632653,0.013780791405136009,0.0021674623312903252,0.007974126868213166
11,1128,0.009701523626201027,0.670243081212087,33.97055248226945,-118.28278608156053,"{'agressao grave': 0.241, 'roubo': 0.377, 'vandalismo': 0.137, 'agressao leve': 0.187, 'crime sexual': 0.044, 'sequestro': 0.007, 'homicidio': 0.005, 'golpes': 0.001}","{'armas de fogo semiautomaticas': 0.059, 'objetos cortantes': 0.056, 'outros': 0.096, 'Indefinido': 0.344, 'armas de fogo': 0.115, 'força fisica e ameacas': 0.276, 'armas de fogo automaticas': 0.015, 'objetos contundentes': 0.031, 'explosivos e substancias quimicas': 0.009}","{'Manha': 0.196, 'Tarde': 0.309, 'Noite': 0.291, 'Madrugada': 0.205}","{'Newton', 'Southeast', '77th Street'}","{1801, 1802, 1239, 1245, 1248, 1249, 1381, 1383, 1256, 1257, 1258, 1255, 1385, 1391, 1393, 1266, 1267, 1268, 1265, 1394, 1395}",1.0,0.011949666256297882,0.0024798994005670464,0.0072147828284324644
49,986,0.009026059278894123,0.5427855785248532,34.04568793103449,-118.29756247464466,"{'roubo': 0.466, 'agressao leve': 0.207, 'agressao grave': 0.127, 'vandalismo': 0.16, 'crime sexual': 0.017, 'golpes': 0.017, 'homicidio': 0.005, 'sequestro': 0.001}","{'outros': 0.069, 'armas de fogo': 0.073, 'força fisica e ameacas': 0.234, 'objetos cortantes': 0.053, 'Indefinido': 0.529, 'armas de fogo semiautomaticas': 0.017, 'objetos contundentes': 0.019, 'armas de fogo automaticas': 0.001, 'explosivos e substancias quimicas': 0.004}","{'Manha': 0.192, 'Tarde': 0.317, 'Noite': 0.324, 'Madrugada': 0.167}","{'Rampart', 'Central', 'Olympic', 'Wilshire', 'Southwest'}","{769, 2053, 2054, 2055, 2056, 2058, 779, 778, 2062, 2063, 2064, 2069, 789, 2071, 279, 281, 2074, 2073, 2076, 285, 2079, 289, 2081, 291, 2083, 292, 295, 2088, 299, 2091, 2093, 2097, 2099, 308, 309, 314, 315, 191, 319, 335, 336, 2033, 2042, 2044, 2045, 2046}",0.8740017746228926,0.011117675959789549,0.002008306640608626,0.006562991300199088
32,891,0.00856409508261184,0.6066550342472578,33.93964197530857,-118.27473456790075,"{'roubo': 0.355, 'agressao grave': 0.254, 'vandalismo': 0.157, 'agressao leve': 0.189, 'crime sexual': 0.035, 'sequestro': 0.004, 'homicidio': 0.007}","{'Indefinido': 0.366, 'outros': 0.098, 'força fisica e ameacas': 0.269, 'armas de fogo': 0.111, 'objetos contundentes': 0.022, 'objetos cortantes': 0.072, 'armas de fogo semiautomaticas': 0.049, 'explosivos e substancias quimicas': 0.007, 'armas de fogo automaticas': 0.006}","{'Manha': 0.194, 'Tarde': 0.323, 'Noite': 0.332, 'Madrugada': 0.15}",{'Southeast'},"{1824, 1861, 1862, 1863, 1832, 1801, 1834, 1835, 1802, 1805, 1841, 1842, 1844, 1821, 1822, 1823}",0.7897071872227152,0.010548660392685906,0.0022446236267893676,0.006396642009737637
53,1071,0.007124613337325166,0.5290258871821889,34.002134173669496,-118.27820616246478,"{'agressao leve': 0.221, 'roubo': 0.4, 'agressao grave': 0.212, 'sequestro': 0.003, 'vandalismo': 0.139, 'golpes': 0.007, 'crime sexual': 0.013, 'homicidio': 0.005}","{'força fisica e ameacas': 0.268, 'armas de fogo automaticas': 0.01, 'objetos contundentes': 0.034, 'Indefinido': 0.393, 'objetos cortantes': 0.069, 'outros': 0.093, 'armas de fogo semiautomaticas': 0.052, 'armas de fogo': 0.069, 'explosivos e substancias quimicas': 0.011}","{'Manha': 0.198, 'Tarde': 0.323, 'Noite': 0.335, 'Madrugada': 0.144}","{'Southwest', 'Newton', '77th Street'}","{395, 396, 397, 398, 399, 1204, 1205, 1207, 1208, 1209, 1341, 1342, 1343, 1344, 1215, 1218, 1219, 1351, 1352, 1353, 1354, 1361, 1362, 1363, 1371, 1372, 1373, 1381, 359, 1383, 1385, 1395, 376, 377, 378, 379}",0.9494232475598935,0.008775606272428639,0.001957395782639078,0.005366501027533858
