Comunidade,Tamanho,Densidade,Densidade Espacial,Lat,Lon,Porcentagem Crimes,Porcentagem Armas,Porcentagem Horarios,Areas,Subareas,Tamanho_normalizado,Densidade_normalizado,Densidade Espacial_normalizado,Fator escolha
0,185,0.04950669257395785,0.9013936750765613,34.15007513513516,-118.43313027027034,"{'roubo': 0.686, 'agressao leve': 0.108, 'vandalismo': 0.157, 'agressao grave': 0.038, 'crime sexual': 0.011}","{'Indefinido': 0.816, 'força fisica e ameacas': 0.114, 'objetos contundentes': 0.016, 'outros': 0.038, 'objetos cortantes': 0.016}","{'Manha': 0.151, 'Tarde': 0.324, 'Noite': 0.324, 'Madrugada': 0.2}","{'Van Nuys', 'N Hollywood'}","{998, 966, 969, 1581, 976, 979, 985, 989}",0.163265306122449,0.06097892212664686,0.003335156597893993,0.03215703936227043
1,348,0.03129890255314827,1.012324506414952,34.228215517241324,-118.45118908045968,"{'roubo': 0.489, 'vandalismo': 0.132, 'crime sexual': 0.034, 'agressao grave': 0.167, 'agressao leve': 0.172, 'golpes': 0.006}","{'Indefinido': 0.543, 'outros': 0.032, 'força fisica e ameacas': 0.241, 'armas de fogo': 0.043, 'objetos cortantes': 0.06, 'objetos contundentes': 0.046, 'armas de fogo semiautomaticas': 0.026, 'armas de fogo automaticas': 0.003, 'explosivos e substancias quimicas': 0.006}","{'Manha': 0.167, 'Tarde': 0.391, 'Noite': 0.319, 'Madrugada': 0.124}",{'Mission'},"{1984, 1985, 1987, 1994, 1962, 1964, 1995, 1966, 1967, 1998, 1972, 1974, 1975}",0.30789707187222715,0.03855182485856284,0.003745600673859664,0.02114871276621125
2,404,0.16153706246893235,2.4641413117475657,34.046733910891255,-118.26477029702929,"{'roubo': 0.693, 'agressao leve': 0.163, 'vandalismo': 0.082, 'crime sexual': 0.007, 'agressao grave': 0.047, 'homicidio': 0.002, 'golpes': 0.005}","{'Indefinido': 0.678, 'força fisica e ameacas': 0.183, 'explosivos e substancias quimicas': 0.012, 'armas de fogo': 0.03, 'outros': 0.054, 'objetos cortantes': 0.032, 'objetos contundentes': 0.007, 'armas de fogo semiautomaticas': 0.002}","{'Manha': 0.144, 'Tarde': 0.374, 'Noite': 0.351, 'Madrugada': 0.131}","{'Rampart', 'Central'}","{161, 162, 171, 269, 181, 182, 279, 151, 191}",0.357586512866016,0.19897018848804948,0.009117322853768657,0.10404375567090907
3,391,0.01678175560090393,0.6911312767846646,33.78040102301794,-118.26215140664954,"{'agressao leve': 0.233, 'roubo': 0.381, 'agressao grave': 0.166, 'vandalismo': 0.187, 'crime sexual': 0.015, 'sequestro': 0.005, 'homicidio': 0.01, 'golpes': 0.003}","{'força fisica e ameacas': 0.261, 'Indefinido': 0.463, 'armas de fogo': 0.082, 'armas de fogo automaticas': 0.013, 'objetos cortantes': 0.059, 'outros': 0.066, 'objetos contundentes': 0.028, 'armas de fogo semiautomaticas': 0.023, 'explosivos e substancias quimicas': 0.005}","{'Manha': 0.164, 'Tarde': 0.368, 'Noite': 0.302, 'Madrugada': 0.166}",{'Harbor'},"{514, 516, 517, 519, 522, 523, 524, 525, 526, 527, 528, 529, 532}",0.3460514640638864,0.02067060663378364,0.002557185724188149,0.011613896178985896
4,863,0.013921249030418487,0.7493324223682811,34.0253673232908,-118.28274264194654,"{'roubo': 0.562, 'vandalismo': 0.166, 'agressao leve': 0.154, 'agressao grave': 0.087, 'golpes': 0.01, 'crime sexual': 0.019, 'homicidio': 0.002}","{'Indefinido': 0.635, 'força fisica e ameacas': 0.188, 'objetos cortantes': 0.029, 'objetos contundentes': 0.021, 'armas de fogo': 0.035, 'armas de fogo semiautomaticas': 0.015, 'outros': 0.065, 'armas de fogo automaticas': 0.009, 'explosivos e substancias quimicas': 0.003}","{'Manha': 0.226, 'Tarde': 0.335, 'Noite': 0.275, 'Madrugada': 0.165}","{'Southwest', 'Newton'}","{1321, 1331, 308, 1333, 1341, 1342, 317, 318, 319, 325, 326, 327, 328, 329, 337, 338, 357, 358, 359, 377, 378, 379}",0.7648624667258207,0.017147232351734557,0.002772529962854679,0.009959881157294619
5,12,0.3781293386047245,11.988253654686398,34.18280000000001,-118.36505833333332,"{'roubo': 0.583, 'vandalismo': 0.25, 'agressao grave': 0.083, 'crime sexual': 0.083}","{'Indefinido': 0.667, 'objetos cortantes': 0.083, 'força fisica e ameacas': 0.167, 'objetos contundentes': 0.083}","{'Manha': 0.333, 'Tarde': 0.25, 'Noite': 0.333, 'Madrugada': 0.083}",{'N Hollywood'},{1529},0.009760425909494233,0.4657535838842766,0.04435653852381216,0.2550550612040444
6,235,0.03127226135215088,0.8708023487852216,34.02214723404258,-118.21189531914885,"{'roubo': 0.477, 'vandalismo': 0.183, 'agressao grave': 0.132, 'agressao leve': 0.179, 'homicidio': 0.009, 'golpes': 0.013, 'crime sexual': 0.009}","{'Indefinido': 0.604, 'armas de fogo': 0.094, 'força fisica e ameacas': 0.166, 'objetos cortantes': 0.034, 'armas de fogo semiautomaticas': 0.021, 'outros': 0.072, 'objetos contundentes': 0.009}","{'Manha': 0.149, 'Tarde': 0.353, 'Noite': 0.306, 'Madrugada': 0.191}",{'Hollenbeck'},"{487, 488, 489, 491, 497, 499, 478}",0.20763087843833186,0.0385190100685513,0.0032219686906122783,0.020870489379581792
7,332,0.02206793375189321,0.711143232828791,34.19769216867478,-118.4685605421687,"{'agressao grave': 0.084, 'vandalismo': 0.229, 'agressao leve': 0.187, 'roubo': 0.449, 'golpes': 0.012, 'crime sexual': 0.033, 'sequestro': 0.006}","{'objetos contundentes': 0.03, 'Indefinido': 0.608, 'força fisica e ameacas': 0.22, 'outros': 0.069, 'objetos cortantes': 0.027, 'armas de fogo': 0.027, 'armas de fogo semiautomaticas': 0.006, 'explosivos e substancias quimicas': 0.012}","{'Manha': 0.16, 'Tarde': 0.358, 'Noite': 0.343, 'Madrugada': 0.139}","{'West Valley', 'Van Nuys'}","{901, 1029, 1019, 904, 905, 1032, 911, 1039, 1008, 914, 1049, 1018, 923}",0.29370008873114467,0.027181755511992516,0.002631229961553875,0.014906492736773195
8,531,0.020579178763750296,0.8278039580414608,34.09835781544263,-118.28860282485874,"{'vandalismo': 0.198, 'roubo': 0.561, 'agressao grave': 0.064, 'agressao leve': 0.154, 'golpes': 0.008, 'crime sexual': 0.011, 'homicidio': 0.002, 'sequestro': 0.002}","{'Indefinido': 0.678, 'armas de fogo': 0.021, 'outros': 0.098, 'força fisica e ameacas': 0.149, 'objetos contundentes': 0.013, 'objetos cortantes': 0.034, 'explosivos e substancias quimicas': 0.006, 'armas de fogo semiautomaticas': 0.002}","{'Manha': 0.232, 'Tarde': 0.228, 'Noite': 0.367, 'Madrugada': 0.173}","{'Rampart', 'Hollywood', 'Northeast'}","{1152, 1161, 1162, 1163, 204, 649, 205, 1171, 659, 1141, 1142, 1143, 1144, 1151}",0.4702750665483585,0.02534801001683539,0.0030628746448550822,0.014205442330845237
9,622,0.011188151245162465,0.5858006300590196,34.0075217041801,-118.25380385852108,"{'vandalismo': 0.172, 'roubo': 0.407, 'agressao leve': 0.18, 'agressao grave': 0.191, 'crime sexual': 0.039, 'sequestro': 0.003, 'homicidio': 0.002, 'golpes': 0.006}","{'Indefinido': 0.452, 'armas de fogo': 0.08, 'outros': 0.084, 'armas de fogo semiautomaticas': 0.055, 'força fisica e ameacas': 0.243, 'objetos cortantes': 0.053, 'objetos contundentes': 0.016, 'explosivos e substancias quimicas': 0.011, 'armas de fogo automaticas': 0.006}","{'Manha': 0.185, 'Tarde': 0.397, 'Noite': 0.281, 'Madrugada': 0.137}",{'Newton'},"{1321, 1322, 1323, 1325, 1326, 1331, 1333, 1343, 1344, 1345, 1346, 1347, 1353, 1363, 1364, 1365, 1367, 1373, 1375, 1377, 1385}",0.5510204081632653,0.013780791405136009,0.0021674623312903252,0.007974126868213166
