Comunidade,Tamanho,Densidade,Densidade Espacial,Fator escolha,Lat,Lon,Porcentagem Crimes,Porcentagem Armas,Porcentagem Horarios,Areas,Subareas
0,815,0.0694858257044793,208.838724637253,11826.7349446993,34.0479530061348,-118.258818159509,"{'roubo': 0.501, 'vandalismo': 0.142, 'agressao leve': 0.218, 'golpes': 0.005, 'agressao grave': 0.102, 'crime sexual': 0.029, 'homicidio': 0.001, 'sequestro': 0.001}","{'Indefinido': 0.539, 'outros': 0.114, 'força fisica e ameacas': 0.247, 'armas de fogo': 0.031, 'explosivos e substancias quimicas': 0.012, 'armas de fogo semiautomaticas': 0.009, 'objetos contundentes': 0.013, 'objetos cortantes': 0.036}","{'Manha': 0.22, 'Tarde': 0.288, 'Noite': 0.302, 'Madrugada': 0.19}","{'Central', 'Rampart'}","{161, 162, 171, 141, 142, 269, 181, 182, 151, 152, 249}"
1,478,0.0149301032658972,91.189222061289,650.780032009475,34.0473274058578,-118.343939121339,"{'agressao grave': 0.113, 'roubo': 0.481, 'agressao leve': 0.199, 'vandalismo': 0.151, 'crime sexual': 0.048, 'sequestro': 0.006, 'golpes': 0.002}","{'outros': 0.073, 'Indefinido': 0.607, 'força fisica e ameacas': 0.22, 'armas de fogo': 0.036, 'objetos contundentes': 0.019, 'explosivos e substancias quimicas': 0.013, 'objetos cortantes': 0.023, 'armas de fogo semiautomaticas': 0.004, 'armas de fogo automaticas': 0.006}","{'Manha': 0.199, 'Tarde': 0.341, 'Noite': 0.339, 'Madrugada': 0.121}",{'Wilshire'},"{773, 774, 775, 776, 745, 777, 747, 783, 784, 785, 755, 758, 763, 764, 765, 766}"
2,13,0.529359992885612,0,0,34.1192,-118.3004,"{'roubo': 0.769, 'crime sexual': 0.077, 'agressao leve': 0.154}","{'Indefinido': 0.692, 'outros': 0.077, 'força fisica e ameacas': 0.231}","{'Manha': 0.308, 'Tarde': 0.231, 'Noite': 0.385, 'Madrugada': 0.077}",{'Northeast'},{1101}
3,20,0.133558949855253,277.848348004227,742.182671569226,34.117265,-118.26379,"{'roubo': 0.6, 'vandalismo': 0.2, 'agressao leve': 0.05, 'agressao grave': 0.15}","{'Indefinido': 0.6, 'armas de fogo': 0.05, 'força fisica e ameacas': 0.05, 'objetos cortantes': 0.15, 'outros': 0.15}","{'Manha': 0.25, 'Tarde': 0.4, 'Noite': 0.2, 'Madrugada': 0.15}",{'Northeast'},"{1123, 1133}"
4,726,0.0743519971764919,219.93658589623,11872.0779242473,34.0429230027549,-118.244419972452,"{'roubo': 0.311, 'crime sexual': 0.054, 'agressao leve': 0.299, 'vandalismo': 0.117, 'agressao grave': 0.207, 'golpes': 0.003, 'homicidio': 0.007, 'sequestro': 0.003}","{'Indefinido': 0.329, 'outros': 0.163, 'armas de fogo': 0.039, 'força fisica e ameacas': 0.321, 'armas de fogo semiautomaticas': 0.011, 'objetos contundentes': 0.044, 'objetos cortantes': 0.076, 'explosivos e substancias quimicas': 0.01, 'armas de fogo automaticas': 0.008}","{'Manha': 0.219, 'Tarde': 0.358, 'Noite': 0.281, 'Madrugada': 0.142}","{'Central', 'Newton'}","{165, 166, 138, 1307, 176, 146, 147, 148, 155, 156, 157, 158, 159}"
5,101,0.409887682792379,789.689797759269,32692.0962541613,34.2438881188119,-118.558223762376,"{'roubo': 0.832, 'agressao grave': 0.04, 'vandalismo': 0.03, 'agressao leve': 0.079, 'golpes': 0.02}","{'Indefinido': 0.812, 'outros': 0.03, 'força fisica e ameacas': 0.109, 'armas de fogo': 0.02, 'armas de fogo semiautomaticas': 0.02, 'objetos cortantes': 0.01}","{'Manha': 0.059, 'Tarde': 0.505, 'Noite': 0.356, 'Madrugada': 0.079}",{'Devonshire'},"{1764, 1766}"
6,29,0.288821291264563,533.09921331565,4465.14169169652,34.1426,-118.224344827586,"{'roubo': 0.69, 'vandalismo': 0.138, 'agressao grave': 0.103, 'agressao leve': 0.069}","{'Indefinido': 0.793, 'outros': 0.034, 'armas de fogo': 0.103, 'força fisica e ameacas': 0.069}","{'Manha': 0.172, 'Tarde': 0.448, 'Noite': 0.345, 'Madrugada': 0.034}",{'Northeast'},"{1105, 1113}"
7,127,0.0496587240177254,88.7254359964088,559.560976316249,33.9770748031496,-118.417233858268,"{'roubo': 0.74, 'vandalismo': 0.157, 'agressao leve': 0.055, 'agressao grave': 0.039, 'crime sexual': 0.008}","{'Indefinido': 0.772, 'outros': 0.126, 'força fisica e ameacas': 0.055, 'explosivos e substancias quimicas': 0.008, 'objetos cortantes': 0.039}","{'Manha': 0.15, 'Tarde': 0.433, 'Noite': 0.268, 'Madrugada': 0.15}",{'Pacific'},"{1464, 1465, 1462, 1463}"
8,205,0.0724932529470835,130.990200961178,1946.66068323294,34.1410458536586,-118.369296097561,"{'roubo': 0.649, 'vandalismo': 0.141, 'agressao leve': 0.122, 'agressao grave': 0.068, 'golpes': 0.005, 'crime sexual': 0.015}","{'Indefinido': 0.737, 'força fisica e ameacas': 0.141, 'objetos contundentes': 0.02, 'outros': 0.059, 'armas de fogo': 0.015, 'objetos cortantes': 0.024, 'armas de fogo semiautomaticas': 0.005}","{'Manha': 0.166, 'Tarde': 0.293, 'Noite': 0.376, 'Madrugada': 0.166}",{'N Hollywood'},"{1569, 1599, 1583, 1585, 1586, 1587, 1563, 1596, 1565, 1567}"
9,357,0.0197409657596838,94.1297177822906,663.381518248075,34.0232655462185,-118.299532212885,"{'roubo': 0.479, 'agressao leve': 0.179, 'vandalismo': 0.137, 'agressao grave': 0.185, 'crime sexual': 0.014, 'homicidio': 0.006}","{'Indefinido': 0.431, 'força fisica e ameacas': 0.303, 'objetos cortantes': 0.064, 'outros': 0.059, 'armas de fogo semiautomaticas': 0.039, 'armas de fogo': 0.053, 'objetos contundentes': 0.031, 'explosivos e substancias quimicas': 0.017, 'armas de fogo automaticas': 0.003}","{'Manha': 0.165, 'Tarde': 0.336, 'Noite': 0.353, 'Madrugada': 0.146}",{'Southwest'},"{355, 356, 357, 326, 358, 325, 336, 337, 338, 315, 376, 377, 378, 379, 316, 317}"
