Comunidade,Tamanho,Densidade,Densidade Espacial,Lat,Lon,Porcentagem Crimes,Porcentagem Armas,Porcentagem Horarios,Areas,Subareas,Tamanho_normalizado,Densidade_normalizado,Densidade Espacial_normalizado,Fator escolha
2,404,0.16153706246893235,2.4641413117475657,34.046733910891255,-118.26477029702929,"{'roubo': 0.693, 'agressao leve': 0.163, 'vandalismo': 0.082, 'crime sexual': 0.007, 'agressao grave': 0.047, 'homicidio': 0.002, 'golpes': 0.005}","{'Indefinido': 0.678, 'força fisica e ameacas': 0.183, 'explosivos e substancias quimicas': 0.012, 'armas de fogo': 0.03, 'outros': 0.054, 'objetos cortantes': 0.032, 'objetos contundentes': 0.007, 'armas de fogo semiautomaticas': 0.002}","{'Manha': 0.144, 'Tarde': 0.374, 'Noite': 0.351, 'Madrugada': 0.131}","{'Rampart', 'Central'}","{161, 162, 171, 269, 181, 182, 279, 151, 191}",0.357586512866016,0.19897018848804948,0.009117322853768657,0.10404375567090907
30,142,0.28872737901110773,4.095145426973556,33.9761492957746,-118.37253521126777,"{'vandalismo': 0.049, 'roubo': 0.866, 'agressao leve': 0.028, 'crime sexual': 0.014, 'agressao grave': 0.035, 'homicidio': 0.007}","{'Indefinido': 0.824, 'outros': 0.056, 'força fisica e ameacas': 0.063, 'explosivos e substancias quimicas': 0.007, 'armas de fogo': 0.014, 'armas de fogo automaticas': 0.007, 'objetos contundentes': 0.014, 'objetos cortantes': 0.007, 'armas de fogo semiautomaticas': 0.007}","{'Manha': 0.254, 'Tarde': 0.401, 'Noite': 0.296, 'Madrugada': 0.049}",{'Pacific'},{1469},0.1251109139307897,0.3556344293096783,0.015152038080305153,0.18539323369499172
66,299,0.292868281887834,6.997318139022353,34.056598996655424,-118.23791304347816,"{'vandalismo': 0.348, 'roubo': 0.328, 'agressao leve': 0.237, 'agressao grave': 0.067, 'crime sexual': 0.013, 'golpes': 0.003, 'homicidio': 0.003}","{'Indefinido': 0.632, 'força fisica e ameacas': 0.231, 'explosivos e substancias quimicas': 0.003, 'outros': 0.07, 'armas de fogo': 0.017, 'objetos contundentes': 0.013, 'objetos cortantes': 0.03, 'armas de fogo semiautomaticas': 0.003}","{'Manha': 0.395, 'Tarde': 0.244, 'Noite': 0.231, 'Madrugada': 0.13}",{'Central'},"{111, 119}",0.26441881100266196,0.3607349072637787,0.02589007711524217,0.19331249218951044
87,156,0.37481726112365416,5.376504479204125,34.06060576923071,-118.41868269230766,"{'roubo': 0.801, 'agressao leve': 0.096, 'vandalismo': 0.083, 'agressao grave': 0.013, 'golpes': 0.006}","{'Indefinido': 0.827, 'força fisica e ameacas': 0.109, 'outros': 0.032, 'armas de fogo': 0.006, 'objetos contundentes': 0.019, 'explosivos e substancias quimicas': 0.006}","{'Manha': 0.141, 'Tarde': 0.519, 'Noite': 0.321, 'Madrugada': 0.019}",{'West LA'},"{829, 839}",0.13753327417923691,0.4616739957660866,0.019893066573715645,0.24078353116990112
88,208,0.31536260861995047,4.917938444203425,34.07454038461539,-118.35627067307675,"{'roubo': 0.793, 'vandalismo': 0.067, 'agressao grave': 0.029, 'agressao leve': 0.087, 'crime sexual': 0.024}","{'Indefinido': 0.808, 'objetos cortantes': 0.014, 'força fisica e ameacas': 0.13, 'armas de fogo': 0.005, 'objetos contundentes': 0.014, 'explosivos e substancias quimicas': 0.01, 'outros': 0.019}","{'Manha': 0.096, 'Tarde': 0.505, 'Noite': 0.37, 'Madrugada': 0.029}",{'Wilshire'},"{713, 714, 724, 725, 702}",0.1836734693877551,0.388441864177532,0.018196372244156732,0.20331911821084436
91,119,0.16335792341810715,2.0672391376353136,34.18775546218495,-118.37039831932779,"{'roubo': 0.655, 'agressao grave': 0.05, 'agressao leve': 0.118, 'vandalismo': 0.16, 'crime sexual': 0.017}","{'Indefinido': 0.739, 'objetos cortantes': 0.025, 'força fisica e ameacas': 0.151, 'outros': 0.05, 'objetos contundentes': 0.017, 'armas de fogo': 0.017}","{'Manha': 0.151, 'Tarde': 0.328, 'Noite': 0.42, 'Madrugada': 0.101}",{'N Hollywood'},"{1527, 1517, 1526, 1519}",0.1047027506654836,0.2012129991516241,0.007648784809504575,0.10443089198056434
95,139,0.45161346540012126,11.365976653538922,34.24383741007193,-118.55803021582756,"{'roubo': 0.799, 'agressao grave': 0.043, 'agressao leve': 0.079, 'vandalismo': 0.079}","{'Indefinido': 0.806, 'outros': 0.022, 'força fisica e ameacas': 0.137, 'armas de fogo automaticas': 0.007, 'armas de fogo': 0.022, 'objetos cortantes': 0.007}","{'Manha': 0.144, 'Tarde': 0.475, 'Noite': 0.353, 'Madrugada': 0.029}",{'Devonshire'},"{1764, 1783}",0.12244897959183675,0.5562662522211287,0.04205411361949007,0.2991601829203094
122,233,0.17379007976270644,2.9652212082679723,33.94320772532191,-118.40455922746808,"{'roubo': 0.627, 'vandalismo': 0.223, 'agressao leve': 0.142, 'agressao grave': 0.009}","{'Indefinido': 0.579, 'outros': 0.27, 'força fisica e ameacas': 0.142, 'explosivos e substancias quimicas': 0.004, 'objetos cortantes': 0.004}","{'Manha': 0.262, 'Tarde': 0.305, 'Noite': 0.292, 'Madrugada': 0.142}",{'Pacific'},{1494},0.20585625554569656,0.21406260829083282,0.01097131847095571,0.11251696338089426
130,284,0.20863612018337924,1.946431767268483,34.0437232394366,-118.45566021126771,"{'agressao leve': 0.074, 'vandalismo': 0.077, 'roubo': 0.806, 'agressao grave': 0.032, 'crime sexual': 0.007, 'golpes': 0.004}","{'força fisica e ameacas': 0.077, 'Indefinido': 0.838, 'objetos contundentes': 0.014, 'armas de fogo': 0.007, 'outros': 0.049, 'objetos cortantes': 0.014}","{'Manha': 0.215, 'Tarde': 0.426, 'Noite': 0.278, 'Madrugada': 0.081}",{'West LA'},"{842, 881, 852, 853, 854}",0.2511091393078971,0.2569835524047999,0.007201797539132463,0.1320926749719662
148,202,0.5353961639775806,27.228331416286682,33.94547623762365,-118.40018811881191,"{'agressao leve': 0.094, 'roubo': 0.777, 'agressao grave': 0.02, 'vandalismo': 0.094, 'crime sexual': 0.015}","{'outros': 0.381, 'força fisica e ameacas': 0.094, 'Indefinido': 0.52, 'objetos cortantes': 0.005}","{'Manha': 0.267, 'Tarde': 0.312, 'Noite': 0.307, 'Madrugada': 0.114}",{'Pacific'},{1494},0.17834960070984918,0.659463989466107,0.10074482624360512,0.38010440785485605
