Comunidade,Tamanho,Densidade,Densidade Espacial,Lat,Lon,Porcentagem Crimes,Porcentagem Armas,Porcentagem Horarios,Areas,Subareas,Tamanho_normalizado,Densidade_normalizado,Densidade Espacial_normalizado,Fator escolha
66,852,0.07785792776335279,1.9134582092966488,34.046488262910756,-118.25774706572734,"{'roubo': 0.565, 'vandalismo': 0.163, 'agressao leve': 0.165, 'agressao grave': 0.086, 'crime sexual': 0.013, 'golpes': 0.002, 'Indefinido': 0.002, 'homicidio': 0.002, 'sequestro': 0.001}","{'Indefinido': 0.626, 'força fisica e ameacas': 0.204, 'armas de fogo': 0.028, 'explosivos e substancias quimicas': 0.007, 'objetos cortantes': 0.04, 'outros': 0.08, 'objetos contundentes': 0.009, 'armas de fogo semiautomaticas': 0.005, 'armas de fogo automaticas': 0.001}","{'Manha': 0.194, 'Tarde': 0.303, 'Noite': 0.352, 'Madrugada': 0.151}","{'Central', 'Rampart'}","{161, 162, 163, 249, 142, 182, 151, 152, 185}",0.587707182320442,0.08798687435697325,0.007509256977957042,0.047748065667465145
38,620,0.06261513742241302,1.0608044246299597,34.06072580645165,-118.23990161290362,"{'roubo': 0.442, 'vandalismo': 0.268, 'Indefinido': 0.005, 'agressao leve': 0.192, 'agressao grave': 0.076, 'crime sexual': 0.015, 'golpes': 0.002, 'sequestro': 0.002}","{'força fisica e ameacas': 0.194, 'Indefinido': 0.635, 'outros': 0.084, 'armas de fogo': 0.027, 'objetos cortantes': 0.031, 'objetos contundentes': 0.019, 'armas de fogo semiautomaticas': 0.003, 'armas de fogo automaticas': 0.002, 'explosivos e substancias quimicas': 0.005}","{'Manha': 0.279, 'Tarde': 0.247, 'Noite': 0.31, 'Madrugada': 0.165}","{'Central', 'Rampart', 'Hollenbeck'}","{129, 101, 421, 122, 105, 109, 238, 111, 239, 112, 118, 119, 121, 218, 219, 127}",0.42748618784530384,0.0707610693926491,0.004163066112025686,0.037462067752337395
9,816,0.05221279736615633,1.4881570061374711,34.10110674019647,-118.33549877450982,"{'vandalismo': 0.153, 'roubo': 0.543, 'agressao leve': 0.165, 'agressao grave': 0.107, 'Indefinido': 0.01, 'crime sexual': 0.017, 'sequestro': 0.001, 'golpes': 0.004}","{'objetos contundentes': 0.025, 'Indefinido': 0.564, 'outros': 0.108, 'força fisica e ameacas': 0.201, 'objetos cortantes': 0.044, 'armas de fogo automaticas': 0.002, 'armas de fogo': 0.029, 'explosivos e substancias quimicas': 0.015, 'armas de fogo semiautomaticas': 0.012}","{'Manha': 0.159, 'Tarde': 0.26, 'Noite': 0.335, 'Madrugada': 0.246}",{'Hollywood'},"{643, 645, 646, 622, 625, 626, 666, 635, 636}",0.5628453038674033,0.05900543430394876,0.0058401868033173135,0.03242281055363304
109,558,0.047733799836786925,1.4026119908886587,34.04857706093188,-118.24016182795698,"{'roubo': 0.548, 'agressao grave': 0.075, 'agressao leve': 0.124, 'vandalismo': 0.235, 'crime sexual': 0.011, 'golpes': 0.005, 'sequestro': 0.002}","{'Indefinido': 0.72, 'outros': 0.07, 'objetos contundentes': 0.02, 'força fisica e ameacas': 0.138, 'objetos cortantes': 0.025, 'armas de fogo': 0.016, 'explosivos e substancias quimicas': 0.007, 'armas de fogo semiautomaticas': 0.002, 'armas de fogo automaticas': 0.002}","{'Manha': 0.172, 'Tarde': 0.28, 'Noite': 0.418, 'Madrugada': 0.131}",{'Central'},"{128, 129, 132, 135, 138, 139, 127, 112, 122, 123, 124, 159}",0.3846685082872928,0.05394374047028219,0.005504470298213858,0.029724105384248026
25,564,0.044930040599261034,1.5333048311374815,34.040273758865276,-118.26599432624134,"{'roubo': 0.574, 'agressao grave': 0.078, 'vandalismo': 0.161, 'agressao leve': 0.167, 'crime sexual': 0.014, 'golpes': 0.004, 'Indefinido': 0.002}","{'Indefinido': 0.637, 'armas de fogo': 0.046, 'armas de fogo semiautomaticas': 0.002, 'força fisica e ameacas': 0.197, 'objetos contundentes': 0.014, 'outros': 0.057, 'objetos cortantes': 0.03, 'explosivos e substancias quimicas': 0.018}","{'Manha': 0.207, 'Tarde': 0.255, 'Noite': 0.376, 'Madrugada': 0.161}","{'Central', 'Newton'}","{192, 195, 1311, 1321, 171, 181, 182, 185, 191}",0.3888121546961326,0.05077522547320683,0.006017366852650887,0.02839629616292886
10,1416,0.04336260116192724,1.3831821484058548,34.04525734463275,-118.24837789547999,"{'vandalismo': 0.139, 'roubo': 0.479, 'agressao leve': 0.21, 'homicidio': 0.004, 'agressao grave': 0.145, 'crime sexual': 0.015, 'sequestro': 0.003, 'Indefinido': 0.003, 'golpes': 0.003}","{'Indefinido': 0.504, 'força fisica e ameacas': 0.248, 'outros': 0.097, 'armas de fogo': 0.032, 'objetos cortantes': 0.073, 'objetos contundentes': 0.023, 'armas de fogo semiautomaticas': 0.008, 'explosivos e substancias quimicas': 0.011, 'armas de fogo automaticas': 0.005}","{'Manha': 0.222, 'Tarde': 0.322, 'Noite': 0.29, 'Madrugada': 0.166}","{'Central', 'Newton'}","{132, 133, 134, 135, 138, 142, 143, 144, 145, 146, 147, 148, 152, 153, 154, 155, 1307, 156, 157, 158, 159, 1309, 163, 164, 165, 166, 174, 176, 185, 123}",0.9772099447513811,0.049003869610075725,0.005428218995971813,0.027216044303023768
4,487,0.039284333816178844,1.2423308184688127,34.06339034907599,-118.30917207392197,"{'roubo': 0.598, 'vandalismo': 0.148, 'golpes': 0.01, 'agressao leve': 0.146, 'Indefinido': 0.006, 'crime sexual': 0.012, 'agressao grave': 0.078, 'sequestro': 0.002}","{'Indefinido': 0.678, 'força fisica e ameacas': 0.172, 'outros': 0.057, 'armas de fogo': 0.027, 'objetos contundentes': 0.016, 'objetos cortantes': 0.035, 'explosivos e substancias quimicas': 0.014}","{'Manha': 0.199, 'Tarde': 0.283, 'Noite': 0.349, 'Madrugada': 0.168}",{'Olympic'},"{2021, 2022, 2023, 2024, 2062, 2031, 2033, 2034, 2041, 2042, 2011, 2044, 2013}",0.3356353591160221,0.04439503905353717,0.004875456031489276,0.024635247542513224
39,505,0.03195484000922934,0.9548034318138476,33.988509504950514,-118.47196673267321,"{'agressao grave': 0.135, 'roubo': 0.497, 'agressao leve': 0.196, 'vandalismo': 0.145, 'golpes': 0.004, 'crime sexual': 0.016, 'Indefinido': 0.008}","{'força fisica e ameacas': 0.218, 'Indefinido': 0.57, 'armas de fogo semiautomaticas': 0.02, 'objetos contundentes': 0.042, 'outros': 0.071, 'armas de fogo': 0.01, 'explosivos e substancias quimicas': 0.028, 'armas de fogo automaticas': 0.002, 'objetos cortantes': 0.04}","{'Manha': 0.184, 'Tarde': 0.345, 'Noite': 0.343, 'Madrugada': 0.129}",{'Pacific'},"{1441, 1411, 1412, 1413, 1414, 1451, 1452, 1431, 1432}",0.34806629834254144,0.03611201291582086,0.0037470712964047296,0.019929542106112797
15,1138,0.028639405149852384,1.0260932276229469,34.05680465729354,-118.27355483304044,"{'vandalismo': 0.179, 'roubo': 0.43, 'agressao leve': 0.189, 'agressao grave': 0.165, 'crime sexual': 0.021, 'homicidio': 0.005, 'Indefinido': 0.007, 'golpes': 0.002, 'sequestro': 0.002}","{'Indefinido': 0.483, 'força fisica e ameacas': 0.238, 'armas de fogo': 0.048, 'outros': 0.079, 'objetos cortantes': 0.09, 'armas de fogo automaticas': 0.002, 'objetos contundentes': 0.03, 'armas de fogo semiautomaticas': 0.011, 'explosivos e substancias quimicas': 0.018}","{'Manha': 0.201, 'Tarde': 0.346, 'Noite': 0.311, 'Madrugada': 0.141}","{'Olympic', 'Rampart'}","{256, 257, 2049, 261, 265, 266, 2058, 269, 271, 275, 2039, 277, 279, 289, 231, 233, 235, 236, 237, 2029, 241, 244, 245, 246, 247, 248, 249, 251}",0.785220994475138,0.032365255728840636,0.004026844010559479,0.018196049869700057
3,525,0.02693561672871305,0.9000839373550152,34.10116990476197,-118.29575980952387,"{'vandalismo': 0.168, 'roubo': 0.568, 'agressao leve': 0.162, 'agressao grave': 0.07, 'crime sexual': 0.013, 'golpes': 0.011, 'sequestro': 0.004, 'homicidio': 0.004}","{'explosivos e substancias quimicas': 0.015, 'Indefinido': 0.64, 'força fisica e ameacas': 0.166, 'outros': 0.099, 'objetos cortantes': 0.042, 'armas de fogo': 0.023, 'armas de fogo automaticas': 0.004, 'objetos contundentes': 0.008, 'armas de fogo semiautomaticas': 0.004}","{'Manha': 0.221, 'Tarde': 0.354, 'Noite': 0.295, 'Madrugada': 0.13}","{'Northeast', 'Hollywood'}","{1152, 1153, 669, 649, 1162, 1161, 1163, 1132, 659, 1141, 1142, 1143, 629, 1151, 639}",0.36187845303867405,0.0304398125267392,0.003532327779353313,0.016986070153046255
